stroke_sign_vs_slider,vpp_v,freq_hz,voltage_amp_v,right_stroke_amp_rad,left_stroke_amp_rad,right_stroke_amp_deg,right_stroke_offset_deg,stroke_gain_deg_per_v,stroke_phase_deg,right_slider_amp_m,slider_phase_deg,transmission_ratio_rad_per_m,stroke_residual_ratio,measure_rows
-1.0,50.0,265.0,25.0,0.04607973996080042,0.04596121859932496,2.6401746208141894,-0.013358447774200994,0.10560698483256757,-164.86257707304208,1.851357080367388e-05,-164.81447746229452,2488.970952683868,0.18418591534536977,1000
-1.0,50.0,270.0,24.99999999999999,0.0433267676078088,0.043480209452149386,2.4824409238715703,-0.06650793210271798,0.09929763695486285,-165.33131305788064,1.7406029424527182e-05,-165.28069707642732,2489.181567552459,0.19284853790468295,1001
-1.0,50.0,275.0,24.999999999999982,0.041954213528147016,0.041755723086283995,2.403799367953487,-0.034181903685895076,0.09615197471813955,-167.11694265890247,1.6852405772317816e-05,-167.0668982622763,2489.5088627086143,0.19180307368754274,1001
-1.0,50.0,280.0,25.000000000000007,0.03980350950491069,0.03977127813578364,2.2805731044402395,-0.019398577532115224,0.09122292417760955,-167.06393537978065,1.5990985945112033e-05,-167.02336168486846,2489.121661511899,0.20039733153663475,1001
-1.0,50.0,285.0,25.0,0.03829726965561954,0.03835180201686607,2.1942719181414354,-0.018543376005892048,0.08777087672565742,-167.95309788162587,1.5386076925923867e-05,-167.91370063850917,2489.0860639785833,0.1941997947241849,1001
-1.0,50.0,290.0,24.999999999999996,0.03675065600137681,0.03658638945599636,2.1056574832160213,-0.036656871534501256,0.08422629932864087,-169.08550947615703,1.475956479098591e-05,-169.0322381595279,2489.9552609993953,0.20509212661750925,1001
-1.0,50.0,295.0,25.0,0.03479072463640126,0.03491611824666482,1.9933616878676077,0.0008364312532214246,0.07973446751470431,-168.4674958054762,1.3968802207717877e-05,-168.4007892653326,2490.601851114987,0.20511628523902758,1000
-1.0,50.0,300.0,25.00000000000001,0.03353281754097058,0.03345895003862004,1.9212889202798697,-0.160771623211627,0.07685155681119475,-169.24175353548566,1.3464004151729047e-05,-169.16086827208767,2490.5531194941213,0.2144328187614498,1000
-1.0,50.0,305.0,24.999999999999996,0.03204893262053061,0.032134126710164926,1.8362685770555534,-0.03826728214404935,0.07345074308222214,-169.36322082461055,1.2870416454614402e-05,-169.30133924684816,2490.123978003849,0.2406029855740401,1000
-1.0,50.0,310.0,25.000000000000004,0.031136997282481288,0.031119351250116233,1.7840185309964913,0.07597146355991637,0.07136074123985964,-170.67959424796,1.2509551875138988e-05,-170.65587611915115,2489.057769076587,0.21055191264550366,1001
-1.0,50.0,315.0,25.0,0.030237515706382407,0.030146027015863202,1.73248203293625,-0.07888787284217613,0.06929928131745,-172.05795398068815,1.214718839174323e-05,-172.01890659717878,2489.260455278331,0.22492468098592344,1001
-1.0,50.0,320.0,25.0,0.02877794767137033,0.028832141013184553,1.6488549446178553,-0.03279362224461586,0.06595419778471422,-171.3085687830086,1.1559830136095804e-05,-171.2658880377173,2489.478420752101,0.2560296228484985,1000
-1.0,50.0,325.0,24.999999999999996,0.02801158504961432,0.027989728840577755,1.6049456008146554,0.00148950926959522,0.06419782403258623,-172.641431787046,1.1253433111172429e-05,-172.61305836725822,2489.159065761396,0.24338215413536296,1001
-1.0,50.0,330.0,25.00000000000001,0.02726309403302065,0.027340704025393868,1.5620602245603814,-0.0637359662346712,0.06248240898241523,-173.8074470677975,1.0952110019844532e-05,-173.7726579069459,2489.3005990281,0.24534893816319298,1001
-1.0,50.0,335.0,25.00000000000003,0.02585914921937902,0.025906813960675578,1.4816201120694352,-0.02531976421238805,0.05926480448277734,-173.31532867492498,1.0388190653243321e-05,-173.28421056709303,2489.2832719916896,0.29380537063117107,1000
-1.0,50.0,340.0,25.000000000000004,0.02545379348923826,0.025492216704571274,1.4583949395309257,-0.028861676905975717,0.05833579758123702,-174.43009828576427,1.022569932250056e-05,-174.400545150868,2489.198311672426,0.2625023207336788,1001
-1.0,50.0,345.0,24.999999999999996,0.024679441416357493,0.02472530533564844,1.414027833897651,-0.02332921521041081,0.05656111335590605,-174.72071215350124,9.914643650930079e-06,-174.69203290603232,2489.1909669433603,0.270371773610845,1001
-1.0,50.0,350.0,24.999999999999996,0.02383957666689899,0.023949854506115604,1.3659071283918665,-0.013337871907111139,0.054636285135674666,-174.78031423834324,9.577264750078914e-06,-174.75055848708442,2489.1842597023915,0.282367557348844,1001
-1.0,50.0,355.0,25.0,0.022828044377546267,0.022974655525306333,1.3079505973707495,-0.024549190215799647,0.05231802389482998,-175.64330503221228,9.170864229764003e-06,-175.61734972328847,2489.1922730093356,0.3737760089243942,1000
-1.0,50.0,360.0,25.000000000000004,0.022564775083780932,0.022873618701366897,1.292866377962606,-0.03068440331890364,0.05171465511850423,-176.67258123357215,9.065257890627688e-06,-176.64764748689288,2489.1487209768197,0.3263227266028454,1001
-1.0,50.0,365.0,25.000000000000004,0.021866180869037882,0.02145438232765518,1.2528398778655734,-0.0019471212496206584,0.050113595114622926,-176.40200821149702,8.785121907693199e-06,-176.38474062818767,2489.0014161203044,0.5088089117737082,1000
-1.0,50.0,370.0,25.00000000000001,0.021601015461305727,0.02141069666629632,1.2376470191296551,-0.04970993748693558,0.04950588076518619,-178.39455159212554,8.677750819207068e-06,-178.3759967235113,2489.2412690042565,0.46496029441677755,1001
-1.0,50.0,375.0,24.999999999999996,0.020271062015448187,0.01995912400572234,1.1614462997331374,0.007506755057358606,0.046457851989325505,-177.1102304438987,8.144468486662035e-06,-177.08544259178544,2488.9361471096036,0.5660790795588043,1000
-1.0,50.0,380.0,24.999999999999993,0.020070106900983563,0.02009474284576039,1.149932419802746,-0.02984797042743129,0.04599729679210986,-178.09488944462998,8.063039585657622e-06,-178.0775773984578,2489.1489974430833,0.5144336221220429,1001
-1.0,50.0,385.0,25.000000000000007,0.0202891776912121,0.020184367861889995,1.1624842514974372,0.013676891255414018,0.046499370059897474,-178.40502889061253,8.152869520434342e-06,-178.39205064875284,2488.5934504850507,0.487259286398033,1001
